,mix,SDR,SIR,SAR,PESQ
60,mix_63,"[[-15.976308044169134], [-17.216997183096897]]","[[0.8763341616211542], [1.2287608562869732]]","[[-13.291526979386688], [-14.71519953980885]]","[1.0260156393051147, 1.0374952554702759]"
61,mix_64,"[[-18.86945978773056], [-16.755712945689286]]","[[1.1923989429643553], [4.309881276479847]]","[[-16.37153637473232], [-15.352204042547893]]","[1.0620793104171753, 1.0234379768371582]"
62,mix_65,"[[-17.53923810981088], [-17.523001549625217]]","[[2.984261164893838], [5.211355563257634]]","[[-15.730959254568058], [-16.356337991519204]]","[1.0559163093566895, 1.025004506111145]"
63,mix_66,"[[-18.76950772256561], [-23.157166916218838]]","[[5.64423534106135], [-5.741377781378344]]","[[-17.706733134759986], [-16.30992553565822]]","[1.0216654539108276, 1.0775947570800781]"
64,mix_67,"[[-16.82696751283822], [-22.068448653037528]]","[[0.7732064003189525], [-0.21181203954047317]]","[[-14.109953854700667], [-18.922536966875718]]","[1.0525015592575073, 1.129892110824585]"
65,mix_68,"[[-22.125721131466594], [-18.909474766534906]]","[[-3.2861225807775583], [5.68259229315329]]","[[-17.111589056504712], [-17.85552338818811]]","[1.0839061737060547, 1.1088063716888428]"
66,mix_69,"[[-18.384442247184595], [-15.710214466525121]]","[[3.834204047062555], [0.6494950925127543]]","[[-16.855044419764454], [-12.910934139020736]]","[1.2095835208892822, 1.0472455024719238]"
67,mix_7,"[[-21.87391523343713], [-20.11420059795167]]","[[7.981855261714602], [-0.22041743389398047]]","[[-21.228016167956724], [-16.947559404036525]]","[1.0388283729553223, 1.1634352207183838]"
68,mix_70,"[[-17.361527258446472], [-18.74873102257476]]","[[1.385019044099126], [0.8979407758724403]]","[[-14.930406339152082], [-16.11686774479073]]","[1.070061445236206, 1.0176953077316284]"
69,mix_71,"[[-18.1443268274393], [-15.377578793099836]]","[[1.4089353826135023], [1.3511414421665675]]","[[-15.733204221406128], [-12.897283481948845]]","[1.0198891162872314, 1.021957278251648]"
70,mix_72,"[[-15.329496900656084], [-19.46845967727916]]","[[5.966194055361065], [-0.7155286039294135]]","[[-14.317114120099426], [-16.027411937619043]]","[1.0688508749008179, 1.0283920764923096]"
71,mix_73,"[[-16.111884984924785], [-20.46981475272775]]","[[4.1590369901925675], [-2.354153688042191]]","[[-14.660179879113432], [-16.05729606447358]]","[1.0270341634750366, 1.0721198320388794]"
72,mix_74,"[[-18.387083467643475], [-17.700757800070566]]","[[0.06328514207661752], [3.3772073469675536]]","[[-15.345812449699137], [-16.02472015147941]]","[1.0236502885818481, 1.0301576852798462]"
73,mix_75,"[[-14.516177244791209], [-12.640527775330936]]","[[3.035123731319386], [2.9613092453776795]]","[[-12.686522094971032], [-10.741982736226952]]","[1.0336390733718872, 1.0348531007766724]"
74,mix_76,"[[-20.155517526105168], [-17.35675077702399]]","[[-3.4877337054827713], [3.8691350369593636]]","[[-14.965693237939933], [-15.830806492896878]]","[1.0260182619094849, 1.0277639627456665]"
75,mix_77,"[[-16.05367816395958], [-19.710680090641706]]","[[3.828341093246169], [-0.49940323570476725]]","[[-14.503843015825373], [-16.391111009722678]]","[1.0540587902069092, 1.0400418043136597]"
76,mix_78,"[[-19.995879809681945], [-20.204716387084233]]","[[1.7164478518231896], [0.3919777524769413]]","[[-17.7301739284067], [-17.347964292616908]]","[1.1050513982772827, 1.0346734523773193]"
77,mix_79,"[[-20.109367502073113], [-16.680038480771874]]","[[-0.1291910295692416], [6.971949204716794]]","[[-16.99014290826807], [-15.866489929867207]]","[1.056333065032959, 1.0231975317001343]"
78,mix_8,"[[-17.758312263690286], [-19.248018140908886]]","[[3.717663166802728], [1.7336228649608487]]","[[-16.189599764509598], [-16.983811878871034]]","[1.0268443822860718, 1.0691912174224854]"
